"Act with kindness, but do not expect gratitude.", Proverb
"Gratitude is the sweetest thing in a seekers life  in all human life. If there is gratitude in your heart, then there will be tremendous sweetness in your eyes.",Sri Chinmoy
"As with all commandments, gratitude is a description of a successful mode of living. The thankful heart opens our eyes to a multitude of blessings that continually surround us. ", James E. Faust
"The more grateful I am, the more beauty I see.",  Mary Davis
The deepest craving of human nature is the need to be appreciated, William James
"There is a calmness to a life lived in gratitude, a quiet joy.",  Ralph H. Blum
Gratitude is the most exquisite form of courtesy. , Jacques Maritain
The root of joy is gratefulness. ,David Steindl-Rast
"I've had a remarkable life. I seem to be in such good places at the right time. You know, if you were to ask me to sum my life up in one word, gratitude. ", Dietrich Bonhoeffer
"He is a wise man who does not grieve for the things which he has not, but rejoices for those which he has. ", Epictetus
"Gratitude unlocks the fullness of life. It turns what we have into enough, and more. It turns denial into acceptance, chaos to order, confusion to clarity. It can turn a meal into a feast, a house into a home, a stranger into a friend.",  Melody Beattie
"Being thankful is not always experienced as a natural state of existence, we must work at it, akin to a type of strength training for the heart.",  Larissa Gomez
"Today I choose to live with gratitude for the love that fills my heart, the peace that rests within my spirit, and the voice of hope that says all things are possible. ",  Anonymous
We can only be said to be alive in those moments when our hearts are conscious of our treasures. , Thornton Wilder
"If you concentrate on finding whatever is good in every situation, you will discover that your life will suddenly be filled with gratitude, a feeling that nurtures the soul. ", Rabbi Harold Kushner
"Be thankful for what you have; you'll end up having more. If you concentrate on what you don't have, you will never, ever have enough.", Oprah Winfrey
"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them. ", John F. Kennedy
I looked around and thought about my life. I felt grateful. I noticed every detail. That is the key to time travel. You can only move if you are actually in the moment. You have to be where you are to get where you need to go. , Amy Poehler
Gratitude for the present moment and the fullness of life now is the true prosperity.,  Eckhart Tolle
Gratitude is the sign of noble souls. , Aesop
Feeling gratitude and not expressing it is like wrapping a present and not giving it.,  William Arthur Ward
"Develop an attitude of gratitude, and give thanks for everything that happens to you, knowing that every step forward is a step toward achieving something bigger and better than your current situation.",  Brian Tracy
Opening your eyes to more of the world around you can deeply enhance your gratitude practice. , Derrick Carpenter
Nothing is more honorable than a grateful heart. , Lucius Annaeus Seneca
"Be grateful for what you already have while you pursue your goals. If you aren't grateful for what you already have, what makes you think you would be happy with more. ", Roy T. Bennett
Train yourself never to put off the word or action for the expression of gratitude. , Albert Schweitzer
Gratitude is riches. Complaint is poverty.,  Doris Day
"Gratitude is an antidote to negative emotions, a neutralizer of envy, hostility, worry, and irritation. It is savoring; it is not taking things for granted; it is present-oriented. ", Sonja Lyubomirsky
"When you are grateful, fear disappears and abundance appears. ", Anthony Robbins
What separates privilege from entitlement is gratitude. , Brene Brown
When it comes to life the critical thing is whether you take things for granted or take them with gratitude. , G.K. Chesterton
